No,"Better (USEBIN:1, NOBIN:0)"
meas-00003-00000,1
meas-00005-00000,1
meas-00007-00000,0
meas-00008-00000,1
meas-00009-00000,1
meas-00010-00000,1
meas-00011-00000,1
meas-00012-00000,1
meas-00013-00000,1
meas-00014-00000,1
meas-00017-00000,0
meas-00019-00000,1
meas-00023-00000,0
meas-00024-00000,1
meas-00026-00000,0
meas-00029-00000,0
meas-00030-00000,0
meas-00032-00000,0
meas-00033-00000,1
meas-00035-00000,1
meas-00036-00000,0
meas-00039-00000,0
meas-00042-00000,0
meas-00044-00000,1
meas-00046-00000,1
meas-00047-00000,1
meas-00048-00000,0
meas-00053-00000,1
meas-00054-00000,1
meas-00057-00000,1
meas-00058-00000,1
meas-00060-00000,0
meas-00061-00000,1
meas-00062-00000,0
meas-00063-00000,0
meas-00064-00000,1
meas-00065-00000,1
meas-00066-00000,1
meas-00070-00000,0
meas-00071-00000,1
meas-00072-00000,0
meas-00077-00000,1
meas-00079-00000,0
meas-00080-00000,0
meas-00083-00000,0
meas-00084-00000,1
meas-00085-00000,0
meas-00093-00000,1
meas-00094-00000,1
meas-00095-00000,1
meas-00096-00000,0
meas-00097-00000,0
meas-00099-00000,1
meas-00104-00000,0
meas-00107-00000,1
meas-00110-00000,1
meas-00112-00000,0
meas-00114-00000,1
meas-00118-00000,0
meas-00120-00000,1
meas-00121-00000,0
meas-00122-00000,0
meas-00123-00000,1
meas-00126-00000,1
meas-00128-00000,0
meas-00129-00000,1
meas-00132-00000,1
meas-00133-00000,1
meas-00134-00000,0
meas-00136-00000,1
meas-00144-00000,1
meas-00147-00000,0
meas-00149-00000,0
meas-00151-00000,1
meas-00152-00000,0
meas-00155-00000,0
meas-00156-00000,1
meas-00158-00000,0
meas-00159-00000,1
meas-00162-00000,0
meas-00163-00000,1
meas-00166-00000,1
meas-00167-00000,1
meas-00168-00000,0
meas-00170-00000,0
meas-00174-00000,0
meas-00176-00000,1
meas-00178-00000,1
meas-00179-00000,1
meas-00180-00000,0
meas-00181-00000,1
meas-00189-00000,1
meas-00191-00000,1
meas-00192-00000,1
meas-00197-00000,1
meas-00198-00000,0
meas-00199-00000,0
meas-00200-00000,1
meas-00201-00000,0
meas-00204-00000,0
meas-00205-00000,1
meas-00206-00000,0
meas-00207-00000,1
meas-00208-00000,0
meas-00209-00000,1
meas-00213-00000,1
meas-00215-00000,1
meas-00216-00000,0
meas-00217-00000,0
meas-00221-00000,1
meas-00222-00000,1
meas-00224-00000,1
meas-00225-00000,1
meas-00228-00000,0
meas-00232-00000,0
meas-00233-00000,0
meas-00235-00000,1
meas-00239-00000,0
meas-00242-00000,1
meas-00245-00000,1
meas-00246-00000,0
meas-00248-00000,1
meas-00250-00000,1
meas-00252-00000,1
meas-00254-00000,1
meas-00260-00000,1
meas-00261-00000,1
meas-00265-00000,1
meas-00266-00000,0
meas-00267-00000,1
meas-00268-00000,0
meas-00269-00000,0
meas-00270-00000,0
meas-00271-00000,0
meas-00274-00000,0
meas-00282-00000,0
meas-00283-00000,1
meas-00286-00000,1
meas-00290-00000,0
meas-00292-00000,1
meas-00294-00000,0
meas-00296-00000,0
meas-00298-00000,0
meas-00300-00000,0
meas-00301-00000,1
meas-00304-00000,1
meas-00307-00000,1
meas-00310-00000,1
meas-00311-00000,1
meas-00314-00000,1
meas-00315-00000,1
meas-00317-00000,0
meas-00321-00000,0
meas-00323-00000,1
meas-00324-00000,0
meas-00325-00000,1
meas-00327-00000,0
meas-00331-00000,0
meas-00333-00000,1
meas-00335-00000,1
meas-00336-00000,1
meas-00341-00000,1
meas-00347-00000,0
meas-00349-00000,1
meas-00350-00000,0
meas-00351-00000,0
meas-00352-00000,1
meas-00353-00000,0
meas-00354-00000,1
meas-00356-00000,1
meas-00359-00000,0
meas-00361-00000,0
meas-00362-00000,1
meas-00363-00000,1
meas-00364-00000,1
meas-00371-00000,0
meas-00372-00000,1
meas-00374-00000,1
meas-00375-00000,0
meas-00379-00000,0
meas-00381-00000,1
